,mean_abs_shap
day,2.2102681703263136
no2,0.5358776805248667
temperature,0.5080831248709494
aqi_rolling_std_72h,0.43891677557153924
hour_cos,0.4350221220990447
day_of_week,0.2930659843505697
aqi_rolling_mean_72h,0.283070612308827
pm2_5,0.268005398943069
aqi_lag_24h,0.24598731299664137
o3,0.23571308805587451
wind_direction,0.22583799793365159
aqi_lag_72h,0.1528514702776646
pm2_5_rolling_mean_72h,0.13301416990604797
co,0.13256113082804571
aqi_lag_48h,0.13143822817092246
hour,0.11838071118009877
day_of_week_cos,0.09693614736516415
pm2_5_lag_48h,0.09499026607959812
pm2_5_lag_24h,0.07208807615523649
day_of_week_sin,0.05385977075455029
wind_speed,0.04788331681109488
humidity,0.03829337236729059
so2,0.03395319969096089
aqi_change_rate_1h,0.0335322390211389
pm2_5_lag_72h,0.03278891766324964
pm10,0.031614329814911066
cloud_cover,0.0313486320414444
hour_sin,0.025832825467941557
pressure,0.02304995699131741
no,5.914480128186625e-05
nh3,0.0
month,0.0
